Year,Month,Rainfall
1994,Mar,0.6
1994,Apr,21.8
1994,May,23.8
1994,Jun,253.2
1994,Jul,332.9
1994,Aug,188.4
1994,Sep,118.9
1994,Oct,66.2
1994,Nov,12.6
1994,Dec,0
1995,Jan,20
1995,Feb,0.2
1995,Mar,5.4
1995,Apr,6.7
1995,May,24
1995,Jun,63.6
1995,Jul,253.1
1995,Aug,82.7
1995,Sep,194.3
1995,Oct,121.5
1995,Nov,4.9
1995,Dec,0
1996,Jan,0.1
1996,Feb,0
1996,Mar,0.1
1996,Apr,4.1
1996,May,5.7
1996,Jun,162.3
1996,Jul,281
1996,Aug,184.1
1996,Sep,161.4
1996,Oct,171.3
1996,Nov,4.8
1996,Dec,0.4
1997,Jan,3.3
1997,Feb,0
1997,Mar,2.4
1997,Apr,15.3
1997,May,6.5
1997,Jun,180.2
1997,Jul,239.9
1997,Aug,295.5
1997,Sep,91.7
1997,Oct,57.7
1997,Nov,68.8
1997,Dec,39.6
1998,Jan,0.2
1998,Feb,0
1998,Mar,0.6
1998,Apr,2.5
1998,May,18.4
1998,Jun,147.1
1998,Jul,264.1
1998,Aug,226.4
1998,Sep,257.2
1998,Oct,162.5
1998,Nov,22.1
1998,Dec,0
1999,Jan,0
1999,Feb,6.7
1999,Mar,0
1999,Apr,0.1
1999,May,39.2
1999,Jun,225.3
1999,Jul,262.5
1999,Aug,85.4
1999,Sep,169
1999,Oct,177.6
1999,Nov,0
1999,Dec,0
2000,Jan,0.4
2000,Feb,1.1
2000,Mar,0.2
2000,Apr,1.7
2000,May,18.5
2000,Jun,173
2000,Jul,198.7
2000,Aug,159.6
2000,Sep,87
2000,Oct,56.5
2000,Nov,2.7
2000,Dec,2.1
2001,Jan,4.4
2001,Feb,0
2001,Mar,0.3
2001,Apr,4.7
2001,May,8.4
2001,Jun,157.9
2001,Jul,179.3
2001,Aug,160.9
2001,Sep,137.3
2001,Oct,125.5
2001,Nov,5.7
2001,Dec,0.5
2002,Jan,1.7
2002,Feb,3.1
2002,Mar,1
2002,Apr,13
2002,May,14.4
2002,Jun,251.9
2002,Jul,95.6
2002,Aug,221.5
2002,Sep,95.8
2002,Oct,36.3
2002,Nov,5.9
2002,Dec,0
2003,Jan,0.8
2003,Feb,2.2
2003,Mar,1.5
2003,Apr,5.7
2003,May,15.1
2003,Jun,210.8
2003,Jul,208.7
2003,Aug,178.4
2003,Sep,116.2
2003,Oct,29.5
2003,Nov,3.5
2003,Dec,0.1
2004,Jan,0.1
2004,Feb,0.1
2004,Mar,0
2004,Apr,4.7
2004,May,49
2004,Jun,215.9
2004,Jul,174.2
2004,Aug,354.1
2004,Sep,181.2
2004,Oct,42.1
2004,Nov,8
2004,Dec,0.1
2005,Jan,3.6
2005,Feb,0.4
2005,Mar,1.6
2005,Apr,11.1
2005,May,7.8
2005,Jun,240.5
2005,Jul,361.2
2005,Aug,256.1
2005,Sep,276.4
2005,Oct,62.7
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,7.1
2006,Apr,0.2
2006,May,42.3
2006,Jun,205.3
2006,Jul,416.4
2006,Aug,421.7
2006,Sep,217
2006,Oct,60.1
2006,Nov,25.5
2006,Dec,0
2007,Jan,1.3
2007,Feb,0.4
2007,Mar,0
2007,Apr,2.1
2007,May,5.5
2007,Jun,266.9
2007,Jul,293.5
2007,Aug,274.2
2007,Sep,189.2
2007,Oct,3.4
2007,Nov,3.9
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,18.1
2008,Apr,0.6
2008,May,1.1
2008,Jun,107.9
2008,Jul,157.9
2008,Aug,257.6
2008,Sep,312.4
2008,Oct,56.6
2008,Nov,3.7
2008,Dec,0.9
2009,Jan,0
2009,Feb,1.7
2009,Mar,0.8
2009,Apr,0.4
2009,May,7.7
2009,Jun,68.9
2009,Jul,329.8
2009,Aug,148.2
2009,Sep,162.6
2009,Oct,96.2
2009,Nov,121.3
2009,Dec,4.3
2010,Jan,2.9
2010,Feb,0.1
2010,Mar,0.9
2010,Apr,2.3
2010,May,5.4
2010,Jun,185.6
2010,Jul,280.9
2010,Aug,233.2
2010,Sep,165.6
2010,Oct,77.1
2010,Nov,73.4
